Entity,Code,Date,people_fully_vaccinated_per_hundred
New York State,,2021-02-03,1.89
New York State,,2021-02-04,2
New York State,,2021-02-05,2.19
New York State,,2021-02-06,2.41
New York State,,2021-02-07,2.67
New York State,,2021-02-08,2.85
New York State,,2021-02-09,2.94
New York State,,2021-02-10,3.19
New York State,,2021-02-11,3.44
New York State,,2021-02-12,3.71
New York State,,2021-02-13,4
New York State,,2021-02-14,4.28
New York State,,2021-02-16,4.75
New York State,,2021-02-17,4.91
New York State,,2021-02-18,5.11
New York State,,2021-02-19,5.48
New York State,,2021-02-20,5.74
New York State,,2021-02-21,6
New York State,,2021-02-22,6.26
New York State,,2021-02-23,6.45
New York State,,2021-02-24,6.58
New York State,,2021-02-25,6.7
New York State,,2021-02-26,6.88
New York State,,2021-02-27,7.09
New York State,,2021-02-28,7.41
New York State,,2021-03-01,7.64
New York State,,2021-03-02,7.83
New York State,,2021-03-03,8
New York State,,2021-03-04,8.15
New York State,,2021-03-05,8.31
New York State,,2021-03-06,8.51
North Carolina,,2021-01-12,0.18
North Carolina,,2021-01-13,0.34
North Carolina,,2021-01-15,0.41
North Carolina,,2021-01-19,0.52
North Carolina,,2021-01-20,0.56
North Carolina,,2021-01-21,0.64
North Carolina,,2021-01-22,0.71
North Carolina,,2021-01-23,0.76
North Carolina,,2021-01-24,0.8
North Carolina,,2021-01-25,0.82
North Carolina,,2021-01-26,0.83
North Carolina,,2021-01-27,0.84
North Carolina,,2021-01-28,1.15
North Carolina,,2021-01-29,1.15
North Carolina,,2021-01-30,1.29
North Carolina,,2021-01-31,1.43
North Carolina,,2021-02-01,1.49
North Carolina,,2021-02-02,1.49
North Carolina,,2021-02-03,1.62
North Carolina,,2021-02-04,1.78
North Carolina,,2021-02-05,1.97
North Carolina,,2021-02-06,2.2
North Carolina,,2021-02-07,2.5
North Carolina,,2021-02-08,2.61
North Carolina,,2021-02-09,2.67
North Carolina,,2021-02-10,2.87
North Carolina,,2021-02-11,3.15
North Carolina,,2021-02-12,3.53
North Carolina,,2021-02-13,3.88
North Carolina,,2021-02-14,4.28
North Carolina,,2021-02-16,4.61
North Carolina,,2021-02-17,4.85
North Carolina,,2021-02-18,5.16
North Carolina,,2021-02-19,5.88
North Carolina,,2021-02-20,6.22
North Carolina,,2021-02-21,6.59
North Carolina,,2021-02-22,6.83
North Carolina,,2021-02-23,6.91
North Carolina,,2021-02-24,7.19
North Carolina,,2021-02-25,7.46
North Carolina,,2021-02-26,7.74
North Carolina,,2021-02-27,8.01
North Carolina,,2021-02-28,8.3
North Carolina,,2021-03-01,8.46
North Carolina,,2021-03-02,8.53
North Carolina,,2021-03-03,8.74
North Carolina,,2021-03-04,9
North Carolina,,2021-03-05,9.05
North Carolina,,2021-03-06,9.31
North Dakota,,2021-01-12,0.76
North Dakota,,2021-01-13,0.84
North Dakota,,2021-01-15,0.99
North Dakota,,2021-01-19,1.13
North Dakota,,2021-01-20,1.18
North Dakota,,2021-01-21,1.3
North Dakota,,2021-01-22,1.63
North Dakota,,2021-01-23,1.89
North Dakota,,2021-01-24,2.05
North Dakota,,2021-01-25,2.06
North Dakota,,2021-01-26,2.07
North Dakota,,2021-01-27,2.22
North Dakota,,2021-01-28,2.39
North Dakota,,2021-01-29,2.72
North Dakota,,2021-01-30,3.01
North Dakota,,2021-01-31,3.33
North Dakota,,2021-02-01,3.43
North Dakota,,2021-02-02,3.48
North Dakota,,2021-02-03,3.6
